"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-01","7.61","0.00","0.0","0.0",,"42","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-02","6.71","0.00","0.0","0.0",,"40","32",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-03","7.83","0.00","0.0","0.0",,"45","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-04","8.50","0.00","0.0","0.0",,"36","14",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-05","5.14","0.00","0.0","0.0",,"29","11",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-06","3.58","0.00","0.0","0.0",,"41","25",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-07","2.46","0.00","0.0","0.0",,"46","31",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-08","4.25","0.00","0.0","0.0",,"46","31",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-09","8.05","0.00","0.0","0.0",,"47","40","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-10","9.84","1.80","0.0","0.0",,"59","40","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-11","10.51","0.00","0.0","0.0",,"40","26",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-12","6.04","0.00","0.0","0.0",,"44","25",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-13","9.84","0.00","0.0","0.0",,"30","22",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-14","4.92","0.00","0.0","0.0",,"38","22",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-15","5.14","0.00","0.0","0.0",,"51","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-16","6.71","0.24","0.0","0.0",,"52","42","    1",,,,,"    1"
